country,iso_3,year_co2,total,coal,oil,gas,cement,flaring,other,per capita
Mexico,MEX,1961,65.239903,3.576064,44.971936,8.035152,1.500959,7.155792,,1.742551
Mexico,MEX,1962,63.743714,3.718746,42.225173,11.848695,1.657138,4.293961,,1.647836
Mexico,MEX,1963,66.292194,4.077807,42.774836,11.658204,1.860651,5.920697,,1.658046
Mexico,MEX,1964,74.200126,4.235375,46.449899,13.453544,2.184097,7.877211,,1.795141
Mexico,MEX,1965,75.167897,4.070506,47.296271,15.765424,2.125953,5.909744,,1.758807
Mexico,MEX,1966,80.84457,4.43344,50.303056,17.011952,2.43497,6.661152,,1.829873
Mexico,MEX,1967,90.005531,5.015812,56.606496,19.814106,2.765578,5.80354,,1.971343
Mexico,MEX,1968,93.887231,5.814768,59.41176,19.825904,3.027359,5.80744,,1.990387
Mexico,MEX,1969,102.176189,6.206593,66.902242,19.59437,3.354324,6.118661,,2.097454
Mexico,MEX,1970,113.95068,6.767408,73.40824,20.61,3.550696,9.614336,,2.265903
Mexico,MEX,1971,126.186804,7.426928,84.935184,20.086048,3.618676,10.119968,,2.431454
Mexico,MEX,1972,132.271259,8.1524,89.892576,21.555312,4.207131,8.46384,,2.470354
Mexico,MEX,1973,144.058428,9.03176,99.048912,24.021184,4.760476,7.196096,,2.608421
Mexico,MEX,1974,154.727323,11.13856,103.328464,25.091072,5.126203,10.043024,,2.717094
Mexico,MEX,1975,164.139039,11.204762,111.171903,25.718189,5.586896,10.457289,,2.796623
Mexico,MEX,1976,183.739575,11.680832,129.408816,25.182672,6.020919,11.446336,,3.039402
Mexico,MEX,1977,192.394235,12.526978,139.958475,26.501208,6.295885,7.111689,,3.09005
Mexico,MEX,1978,222.11624,15.799168,155.569776,33.503616,6.65472,10.58896,,3.463855
Mexico,MEX,1979,240.258752,17.29408,166.466512,40.882912,7.14408,8.471168,,3.641779
Mexico,MEX,1980,267.743832,10.662386,195.799507,43.792726,7.603607,9.885607,,3.954554
Mexico,MEX,1981,283.707437,8.559104,207.60224,47.309568,8.368829,11.867696,,4.097819
Mexico,MEX,1982,303.905051,10.336268,215.577697,51.84256,8.931183,17.217343,,4.301145
Mexico,MEX,1983,277.565869,10.651248,195.683248,51.90056,7.855165,11.475648,,3.850786
Mexico,MEX,1984,276.648598,10.566976,197.907296,52.446496,8.43647,7.29136,,3.764456
Mexico,MEX,1985,287.370505,12.893616,204.220368,54.582608,9.412137,6.261776,,3.838157
Mexico,MEX,1986,293.412194,12.417296,219.557872,48.43808,8.93557,4.063376,,3.849323
Mexico,MEX,1987,306.022063,11.593034,230.845746,49.12017,10.051604,4.411509,,3.945948
Mexico,MEX,1988,305.665561,11.054288,232.341568,49.632544,10.068697,2.568464,,3.87448
Mexico,MEX,1989,323.480321,12.329485,247.677918,51.277986,10.121087,2.073845,,4.031724
Mexico,MEX,1990,317.042355,15.894616,235.641894,52.923428,10.73574,1.846677,,3.879597
Mexico,MEX,1991,330.133158,15.509712,246.53224,55.267776,10.95479,1.86864,,3.96073
Mexico,MEX,1992,332.780138,14.806224,248.719648,55.612192,11.75145,1.890624,,3.915375
Mexico,MEX,1993,338.067214,18.202752,249.796864,55.066256,12.38891,2.612432,,3.901596
Mexico,MEX,1994,351.52818,20.247264,258.051856,56.90192,13.83562,2.49152,,3.980416
Mexico,MEX,1995,331.59661,22.266128,237.244,56.92024,11.03325,4.132992,,3.685653
Mexico,MEX,1996,345.766112,25.19706,236.842104,62.745332,12.27238,8.709235,,3.775293
Mexico,MEX,1997,368.644797,25.574465,252.201598,65.771808,12.90692,12.190006,,3.956134
Mexico,MEX,1998,388.35689,26.266967,264.274488,71.088255,13.41233,13.31485,,4.098006
Mexico,MEX,1999,390.516452,26.003408,271.403472,69.802864,13.90122,9.405488,,4.053742
Mexico,MEX,2000,396.066364,26.699568,263.873952,81.201568,14.56702,9.724256,,4.046719
Mexico,MEX,2001,410.697922,30.638368,275.576768,82.887008,14.05893,7.536848,,4.132007
Mexico,MEX,2002,411.967687,34.701435,265.359172,92.170763,14.54814,5.188178,,4.082239
Mexico,MEX,2003,437.757538,42.458432,273.195168,101.903168,14.64981,5.55096,,4.273751
Mexico,MEX,2004,438.856697,37.881779,276.73594,105.646892,15.34581,3.246277,,4.221976
Mexico,MEX,2005,463.99319,46.8076,291.12312,105.515872,16.67375,3.872848,,4.400442
Mexico,MEX,2006,476.565216,50.2884,284.689136,117.936832,17.81776,5.833088,,4.458598
Mexico,MEX,2007,479.786812,45.840304,286.649376,117.273648,18.97286,11.050624,,4.430043
Mexico,MEX,2008,492.97967,40.783984,288.397104,118.56704,18.63823,26.593312,,4.494525
Mexico,MEX,2009,475.903054,40.813296,272.740832,123.432832,17.86275,21.053344,,4.285507
Mexico,MEX,2010,463.782514,51.054176,259.678672,124.121664,17.04565,11.882352,,4.121324
Mexico,MEX,2011,484.164841,56.041308,272.512081,130.70687,17.77072,7.133862,,4.241461
Mexico,MEX,2012,501.568856,49.222543,290.157986,135.726564,18.41149,8.050273,,4.332987
Mexico,MEX,2013,495.485164,49.97696,277.69456,142.276784,17.43703,8.09983,,4.22442
Mexico,MEX,2014,484.113709,48.943712,269.274688,138.502864,18.25933,9.133115,,4.076545
Mexico,MEX,2015,479.519778,44.114222,258.874271,147.976833,19.15998,9.394473,,3.991013
Mexico,MEX,2016,479.789752,47.621008,251.592224,151.455104,20.599338,8.522078,,3.948262
Mexico,MEX,2017,465.620953,48.52968,245.839744,143.251408,20.876858,7.123264,,3.79049
Mexico,MEX,2018,475.268909,47.313232,233.825488,165.90592,20.863843,7.360426,,3.832385
Mexico,MEX,2019,472.191499,45.26801,241.897149,157.098863,19.497632,8.429845,,3.774956
